"","Species","Seine Only","Visual Only","All Absent","All Detected","eDNA & BRUV","eDNA Only","eDNA & Seine","BRUV Only","Domain","Phylum","Class","Order","Family","Genus"
"1","Amphistichus argenteus",0.4375,0.5625,0,0,0,0,0,0,NA,NA,"Actinopteri",NA,NA,NA
"2","Anisotremus davidsonii",0,0,0.611111111111111,0.0555555555555556,0.0555555555555556,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Anisotremus"
"3","Atherinops affinis",0,0,0,0.444444444444444,0.222222222222222,0.166666666666667,0.166666666666667,0,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Atherinops"
"4","Atractoscion nobilis",0.111111111111111,0,0.5,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Atractoscion"
"5","Bodianus pulcher",0,0,0.388888888888889,0,0.0555555555555556,0.555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Bodianus"
"6","Brachygenys californiensis",0,0,0.777777777777778,0.0555555555555556,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Brachygenys"
"7","Brachyistius frenatus",0,0,0.5,0,0,0.5,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Brachyistius"
"8","Cebidichthys violaceus",0,0,0.611111111111111,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Cebidichthys"
"9","Cheilopogon pinnatibarbatus",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Cheilopogon"
"10","Cheilotrema saturnum",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Cheilotrema"
"11","Chilara taylori",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Chilara"
"12","Chromis punctipinnis",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","","Pomacentridae","Chromis"
"13","Citharichthys sordidus",0,0,0.555555555555556,0,0,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys"
"14","Citharichthys stigmaeus",0,0,0.222222222222222,0.0555555555555556,0.444444444444444,0.166666666666667,0,0.111111111111111,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys"
"15","Clinocottus analis",0,0,0.444444444444444,0,0,0.555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Clinocottus"
"16","Clinocottus recalvus",0,0,0.777777777777778,0,0,0.222222222222222,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Clinocottus"
"17","Cymatogaster aggregata",0,0,0.722222222222222,0,0,0.222222222222222,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Cymatogaster"
"18","Embiotoca jacksoni",0,0,0.111111111111111,0,0.111111111111111,0.666666666666667,0.111111111111111,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Embiotoca"
"19","Embiotoca lateralis",0,0,0.611111111111111,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Embiotoca"
"20","Engraulis mordax",0,0,0.111111111111111,0,0.0555555555555556,0.666666666666667,0.166666666666667,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis"
"21","Etrumeus teres",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Dussumieriidae","Etrumeus"
"22","Fodiator acutus",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Beloniformes","Exocoetidae","Fodiator"
"23","Genyonemus lineatus",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Genyonemus"
"24","Gibbonsia montereyensis",0,0,0.277777777777778,0,0,0.722222222222222,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Clinidae","Gibbonsia"
"25","Girella nigricans",0,0,0.166666666666667,0,0.166666666666667,0.666666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Girella"
"26","Gobiesox rhessodon",0,0,0.555555555555556,0,0,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Gobiesox"
"27","Gymnothorax mordax",0,0,0.777777777777778,0,0.0555555555555556,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax"
"28","Halichoeres californica",0,0,0.277777777777778,0,0.0555555555555556,0.666666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres"
"29","Halichoeres semicinctus",0,0,0.444444444444444,0.0555555555555556,0.0555555555555556,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres"
"30","Heterostichus rostratus",0.0555555555555556,0,0,0,0.0555555555555556,0.833333333333333,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Clinidae","Heterostichus"
"31","Hyperprosopon argenteum",0.5,0.25,0,0,0,0,0,0.25,NA,NA,"Actinopteri",NA,NA,NA
"32","Hyperprosopon ellipticum",1,0,0,0,0,0,0,0,NA,NA,"Actinopteri",NA,NA,NA
"33","Hypsoblennius gilberti",0,0,0.388888888888889,0,0,0.611111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Hypsoblennius"
"34","Hypsoblennius jenkinsi",0,0,0.388888888888889,0,0,0.611111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Blenniidae","Hypsoblennius"
"35","Hypsypops rubicundus",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","","Pomacentridae","Hypsypops"
"36","Kyphosus analogus",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Kyphosus"
"37","Kyphosus azureus",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Kyphosus"
"38","Labrisomus xanti",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Labrisomidae","Labrisomus"
"39","Lepidogobius lepidus",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Lepidogobius"
"40","Leuresthes tenuis",0.0555555555555556,0,0.166666666666667,0,0,0.611111111111111,0.166666666666667,0,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Leuresthes"
"41","Medialuna californiensis",0,0,0.5,0,0.0555555555555556,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Medialuna"
"42","Menticirrhus undulatus",0,0,0.5,0.111111111111111,0,0.277777777777778,0.111111111111111,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Menticirrhus"
"43","Merluccius productus",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius"
"44","Micrometrus aurora",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Micrometrus"
"45","Micrometrus minimus",0.0555555555555556,0,0.277777777777778,0.0555555555555556,0,0.388888888888889,0.222222222222222,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Micrometrus"
"46","Morone saxatilis",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","","Moronidae","Morone"
"47","Mugil cephalus",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil"
"48","Mycteroperca xenarcha",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca"
"49","Oligocottus snyderi",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Oligocottus"
"50","Ophidion scrippsae",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Ophidion"
"51","Paraclinus integripinnis",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Labrisomidae","Paraclinus"
"52","Paralabrax clathratus",0,0,0.388888888888889,0,0.277777777777778,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax"
"53","Paralabrax nebulifer",0,0,0.833333333333333,0,0.0555555555555556,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax"
"54","Paralichthys californicus",0,0,0.444444444444444,0.0555555555555556,0.0555555555555556,0.444444444444444,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys"
"55","Peprilus simillimus",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus"
"56","Phanerodon vacca",0,0,0.444444444444444,0,0,0.555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Phanerodon"
"57","Pleuronichthys coenosus",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys"
"58","Pleuronichthys verticalis",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys"
"59","Porichthys myriaster",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Porichthys"
"60","Porichthys notatus",0,0,0.611111111111111,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Porichthys"
"61","Rhacochilus toxotes",0,0,0.611111111111111,0,0,0.388888888888889,0,0,"Eukaryota","Chordata","Actinopteri","","Embiotocidae","Rhacochilus"
"62","Rhinogobiops nicholsii",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Rhinogobiops"
"63","Rimicola muscarum",0,0,0.5,0,0,0.5,0,0,"Eukaryota","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Rimicola"
"64","Roncador stearnsii",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Roncador"
"65","Sarda chiliensis",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Sarda"
"66","Sardinops sagax",0,0,0.277777777777778,0,0,0.666666666666667,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops"
"67","Scomber japonicus",0,0,0.444444444444444,0,0,0.555555555555556,0,0,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber"
"68","Scorpaenichthys marmoratus",0,0,0.388888888888889,0,0,0.611111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Scorpaenichthys"
"69","Scorpaenodes xyris",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaenodes"
"70","Seriola dorsalis",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola"
"71","Seriphus politus",0,0,0.5,0,0,0.444444444444444,0.0555555555555556,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Seriphus"
"72","Sphyraena argentea",0,0,0.555555555555556,0,0.111111111111111,0.333333333333333,0,0,"Eukaryota","Chordata","Actinopteri","","Sphyraenidae","Sphyraena"
"73","Strongylura exilis",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Strongylura"
"74","Symphurus atricaudus",0,0,0.777777777777778,0,0,0.222222222222222,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cynoglossidae","Symphurus"
"75","Syngnathus californiensis",0.666666666666667,0,0,0,0,0,0,0.333333333333333,NA,NA,"Actinopteri",NA,NA,NA
"76","Synodus lucioceps",0,0,0.888888888888889,0,0,0.111111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Aulopiformes","Synodontidae","Synodus"
"77","Trachurus symmetricus",0,0,0.444444444444444,0,0.0555555555555556,0.5,0,0,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus"
"78","Triphoturus mexicanus",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Triphoturus"
"79","Typhlogobius californiensis",0,0,0.388888888888889,0,0,0.611111111111111,0,0,"Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Typhlogobius"
"80","Umbrina roncador",0,0,0.5,0.0555555555555556,0.111111111111111,0.222222222222222,0.111111111111111,0,"Eukaryota","Chordata","Actinopteri","","Sciaenidae","Umbrina"
"81","Xystreurys liolepis",0,0,0.777777777777778,0,0,0.222222222222222,0,0,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Xystreurys"
"82","Cephaloscyllium ventriosum",0,0,0.666666666666667,0,0,0.333333333333333,0,0,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"83","Galeorhinus galeus",0,0,0.777777777777778,0,0.0555555555555556,0.166666666666667,0,0,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Galeorhinus"
"84","Gymnura marmorata",0,0,0.833333333333333,0,0,0.166666666666667,0,0,"Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Gymnuridae","Gymnura"
"85","Heterodontus francisci",0,0,0.555555555555556,0,0,0.444444444444444,0,0,"Eukaryota","Chordata","Chondrichthyes","Heterodontiformes","Heterodontidae","Heterodontus"
"86","Mustelus californicus",0,0,0.944444444444444,0,0,0.0555555555555556,0,0,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus"
"87","Myliobatis californica",0,0,0,0.0555555555555556,0.555555555555556,0.333333333333333,0,0.0555555555555556,"Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis"
"88","Notorynchus cepedianus",0,0,0.722222222222222,0,0,0.277777777777778,0,0,"Eukaryota","Chordata","Chondrichthyes","Hexanchiformes","Hexanchidae","Notorynchus"
"89","Platyrhinoidis triseriata",0,0,0.277777777777778,0,0.166666666666667,0.555555555555556,0,0,"Eukaryota","Chordata","Chondrichthyes","","Platyrhinidae","Platyrhinoidis"
"90","Pseudobatos productus",0,0,0.611111111111111,0,0.277777777777778,0.111111111111111,0,0,"Eukaryota","Chordata","Chondrichthyes","Pristiformes/Rhiniformes group","Rhinobatidae","Pseudobatos"
"91","Squatina californica",0,0,0.5,0,0,0.5,0,0,"Eukaryota","Chordata","Chondrichthyes","","Squatinidae","Squatina"
"92","Triakis semifasciata",0,0,0.111111111111111,0.166666666666667,0.555555555555556,0.0555555555555556,0,0.111111111111111,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis"
"93","Urobatis halleri",0.0555555555555556,0,0.722222222222222,0,0.166666666666667,0.0555555555555556,0,0,"Eukaryota","Chordata","Chondrichthyes","Myliobatiformes","Urolophidae","Urobatis"
