BRUV_Number,Site,Site_Code,Amphistichus_argenteus,Anisotremus_davidsonii,Atherinops_affinis,Atherinopsidae_unknown,Citharichthys_stigmaeus,Embiotoca_jacksoni,Engraulis_mordax,Galeorhinus_galeus,Girella_nigricans,Gymnothorax_mordax,Xenistius_californiensis,Halichoeres_semicinctus,Heterostichus_rostratus,Hyperprosopon_argenteum,Medialuna_californiensis,Micrometrus_minimus,Myliobatis_californica,Oxyjulis_californica,Paralabrax_clathratus,Paralabrax_nebulifer,Paralichthys_californicus,Phoca_vitulina,Platyrhinoidis_triseriata,Pseudobatos_productus,Scomber_japonicus,Semicossyphus_pulcher,Seriphus_politus,Sphyraena_argentea,Syngnathus_californiensis,Syngnathus_unknown,Teleost_unknown,Trachurus_symmetricus,Triakis_semifasciata,Umbrina_roncador,Urobatis_halleri
Cuyler_Harbor_1,Cuyler_Harbor,CH,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cuyler_Harbor_2,Cuyler_Harbor,CH,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cuyler_Harbor_3,Cuyler_Harbor,CH,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandy_Point_1,Sandy_Point,SP,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandy_Point_2,Sandy_Point,SP,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sandy_Point_3,Sandy_Point,SP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China_Camp_1,China_Camp,CC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
China_Camp_2,China_Camp,CC,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China_Camp_4,China_Camp,CC,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford_Point_1,Ford_Pt,FP,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford_Point_2,Ford_Pt,FP,6,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford_Point_3,Ford_Pt,FP,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bechers_Bay_1,Bechers,BB,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bechers_Bay_2,Bechers,BB,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0
Bechers_Bay_3,Bechers,BB,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Water_Canyon_1,Water_Canyon,WC,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Water_Canyon_2,Water_Canyon,WC,12,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Water_Canyon_3,Water_Canyon,WC,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SE_Anchorage_1,Southeast_Anchorage,SA,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_Anchorage_2,Southeast_Anchorage,SA,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SE_Anchorage_3,Southeast_Anchorage,SA,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Forney_Cove_1,Forney,FC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0
Forney_Cove_2,Forney,FC,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0
Forney_Cove_3,Forney,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Christy_Beach_1,Christy,CB,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Christy_Beach_2,Christy,CB,0,0,0,39,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Christy_Beach_3,Christy,CB,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Coches_Prietos_1,Coches,CP,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Coches_Prietos_2,Coches,CP,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Coches_Prietos_3,Coches,CP,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Little_Harbor_1,Little_Harbor,LH,0,3,120,0,0,0,0,0,1,0,32,2,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,2,2
Little_Harbor_2,Little_Harbor,LH,0,3,1,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,2,7,1
Little_Harbor_3,Little_Harbor,LH,0,2,1,0,0,0,0,0,7,2,0,5,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1
Ben_Weston_1,Ben_Weston,BW,2,5,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
Ben_Weston_2,Ben_Weston,BW,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Ben_Weston_3,Ben_Weston,BW,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
Emerald_Bay_1,Emerald_Bay,EB,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Emerald_Bay_2,Emerald_Bay,EB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Emerald_Bay_4,Emerald_Bay,EB,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1