Species,CODE,Class,Family,Cuyler_Harbor_1,Cuyler_Harbor_2,Cuyler_Harbor_3,Sandy_Point_1,Sandy_Point_2,Sandy_Point_3,China_Camp_1,China_Camp_2,China_Camp_4,Ford_Point_1,Ford_Point_2,Ford_Point_3,Bechers_Bay_1,Bechers_Bay_2,Bechers_Bay_3,Water_Canyon_1,Water_Canyon_2,Water_Canyon_3,SE_Anchorage_1,SE_Anchorage_2,SE_Anchorage_3,Forney_Cove_1,Forney_Cove_2,Forney_Cove_3,Christy_Beach_1,Christy_Beach_2,Christy_Beach_3,Coches_Prietos_1,Coches_Prietos_2,Coches_Prietos_3,Little_Harbor_1,Little_Harbor_2,Little_Harbor_3,Ben_Weston_1,Ben_Weston_2,Ben_Weston_3,Emerald_Bay_1,Emerald_Bay_2,Emerald_Bay_4
Amphistichus_argenteus,AMAR,Actinopteri,Embiotocidae,0,0,0,10,3,5,0,7,7,8,6,2,5,4,0,2,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Anisotremus_davidsonii,ANDA,Actinopteri,Haemulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,1,0,0,0,0
Atherinops_affinis,ATAF,Actinopteri,Atherinopsidae,3,4,8,2,0,0,0,0,0,2,5,3,1,0,4,2,2,0,35,21,16,0,0,0,10,0,163,0,0,0,120,1,1,0,5,12,0,0,0
Atherinopsidae_unknown,ATHE,Actinopteri,Atherinopsidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys_stigmaeus,CIST,Actinopteri,Paralichthyidae,10,9,3,0,5,0,1,1,0,0,2,2,2,1,2,0,0,1,5,5,5,1,0,0,1,6,0,7,13,6,0,0,0,0,0,0,0,0,0
Embiotoca_jacksoni,EMJA,Actinopteri,Embiotocidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engraulis_mordax,ENMO,Actinopteri,Engraulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0
Galeorhinus_galeus,GAGA,Chondrichthyes,Triakidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girella_nigricans,GINI,Actinopteri,Kyphosidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,7
Gymnothorax_mordax,GYMO,Actinopteri,Muraenidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Xenistius_californiensis,HACA,Actinopteri,Haemulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
Halichoeres_semicinctus,HASE,Actinopteri,Labridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0,0,0,4,0,0
Heterostichus_rostratus,HERO,Actinopteri,Clinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperprosopon_argenteum,HYAR,Actinopteri,Embiotocidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,0,0,0,0
Medialuna_californiensis,MECA,Actinopteri,Kyphosidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Micrometrus_minimus,MIMI,Actinopteri,Embiotocidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myliobatis_californica,MYCA,Chondrichthyes,Myliobatidae,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,4,2,1,1,0,2,1,2,2,3,6,3,0,3,2,2,1,1,1,0,0,0,0
Oxyjulis_californica,OXCA,Actinopteri,Labridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paralabrax_clathratus,PACL,Actinopteri,Serranidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,4,0,1,0,2,0,7
Paralabrax_nebulifer,PANE,Actinopteri,Serranidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paralichthys_californicus,PACA,Actinopteri,Paralichthyidae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Phoca_vitulina,PHVI,Mammalia,Phocidae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platyrhinoidis_triseriata,PLTR,Chondrichthyes,Platyrhinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Pseudobatos_productus,RHPR,Chondrichthyes,Rhinobatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,1
Scomber_japonicus,SCJA,Actinopteri,Scombridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semicossyphus_pulcher,SEPU,Actinopteri,Labridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Seriphus_politus,SEPO,Actinopteri,Sciaenidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphyraena_argentea,SPAR,Actinopteri,Sphyraenidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathus_californiensis,SYCA,Actinopteri,Syngnathidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathus_unknown,SYNG,Actinopteri,Syngnathidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teleost_unknown,UNKN,Actinopteri,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachurus_symmetricus,TRSY,Actinopteri,Carangidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Triakis_semifasciata,TRSE,Chondrichthyes,Triakidae,1,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,1,0,1,1,1,3,1,2,1,0,2,1,1,2,2,2,1,1,1,1,0,0
Umbrina_roncador,UMRO,Actinopteri,Sciaenidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,0,1,4,0,0,0
Urolophus_halleri,URHA,Chondrichthyes,Urotrygonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,1,3,3,1