Site,Number,Site Code,Sample,Start time,End time,Vol filtered (mL),Latitude,Longitude,Nudge_x,Nudge_y
Bechers Bay,8,BB,A,0.727777778,0.738888889,0.5,34.008414,-120.048798,-0.05,0.08
Bechers Bay,8,BB,B,0.727777778,0.739583333,0.5,34.008414,-120.048798,-0.05,0.08
Bechers Bay,8,BB,C,0.727777778,0.738194444,0.5,34.008414,-120.048798,-0.05,0.08
Ben Weston,18,BW,A,0.708333333,0.732638889,0.5,33.367677,-118.481486,-0.05,-0.05
Ben Weston,18,BW,B,0.708333333,0.732638889,0.5,33.367677,-118.481486,-0.05,-0.05
Ben Weston,18,BW,C,0.708333333,0.732638889,0.5,33.367677,-118.481486,-0.05,-0.05
China Camp,12,CC,A,0.850694444,0.861111111,0.5,33.920626,-120.169844,-0.04,-0.04
China Camp,12,CC,B,0.850694444,0.861111111,0.5,33.920626,-120.169844,-0.04,-0.04
China Camp,12,CC,C,0.850694444,0.861111111,0.5,33.920626,-120.169844,-0.04,-0.04
Christy Beach,14,CB,A,0.793055556,0.804861111,0.5,34.023838,-119.87666,0,0.09
Christy Beach,14,CB,B,0.793055556,0.804861111,0.5,34.023838,-119.87666,0,0.09
Christy Beach,14,CB,C,0.793055556,0.804861111,0.5,34.023838,-119.87666,0,0.09
Coches Prietos,15,CP,A,0.819444444,0.836805556,0.5,33.969093,-119.707695,0,-0.05
Coches Prietos,15,CP,B,0.819444444,0.836805556,0.5,33.969093,-119.707695,0,-0.05
Coches Prietos,15,CP,C,0.819444444,0.836805556,0.5,33.969093,-119.707695,0,-0.05
Cuyler Harbor,5,CH,A,0.651388889,0.673611111,0.5,34.046923,-120.353134,0.03,0.03
Cuyler Harbor,5,CH,B,0.651388889,0.684027778,0.5,34.046923,-120.353134,0.03,0.03
Cuyler Harbor,5,CH,C,0.651388889,0.6875,0.5,34.046923,-120.353134,0.03,0.03
Dangermond,1,DP,A,0.673611111,0.6875,0.5,34.464049,-120.473477,0,-0.05
Dangermond,1,DP,B,0.673611111,0.6875,0.5,34.464049,-120.473477,0,-0.05
Dangermond,1,DP,C,0.673611111,0.6875,0.5,34.464049,-120.473477,0,-0.05
Emerald Bay,16,EB,A,0.726388889,0.753472222,0.5,33.468299,-118.531017,0,0.04
Emerald Bay,16,EB,B,0.726388889,0.753472222,0.5,33.468299,-118.531017,0,0.04
Emerald Bay,16,EB,C,0.726388889,0.753472222,0.5,33.468299,-118.531017,0,0.04
Ford Point,11,FP,A,0.747916667,0.756944444,0.5,33.917779,-120.049552,0,-0.04
Ford Point,11,FP,B,0.747916667,0.756944444,0.5,33.917779,-120.049552,0,-0.04
Ford Point,11,FP,C,0.747916667,0.756944444,0.5,33.917779,-120.049552,0,-0.04
Forney Cove,13,FC,A,0.8,0.815277778,0.5,34.05843,-119.918513,-0.03,0.04
Forney Cove,13,FC,B,0.8,0.815277778,0.5,34.05843,-119.918513,-0.03,0.04
Forney Cove,13,FC,C,0.8,0.815277778,0.5,34.05843,-119.918513,-0.03,0.04
Little Harbor,17,LH,A,0.838888889,0.9375,0.2,33.386274,-118.474347,-0.08,0.01
Little Harbor,17,LH,B,0.838888889,0.913194444,0.5,33.386274,-118.474347,-0.08,0.01
Little Harbor,17,LH,C,0.838888889,0.861805556,0.5,33.386274,-118.474347,-0.08,0.01
R Beach,2,RB,A,0.711805556,0.739583333,0.5,34.414897,-119.885636,0,-0.05
R Beach,2,RB,B,0.711805556,0.740972222,0.5,34.414897,-119.885636,0,-0.05
R Beach,2,RB,C,0.711805556,0.75,0.5,34.414897,-119.885636,0,-0.05
Sandy Point,6,SP,A,0.839583333,0.852083333,0.5,34.005643,-120.239911,-0.03,-0.03
Sandy Point,6,SP,B,0.839583333,0.85,0.5,34.005643,-120.239911,-0.03,-0.03
Sandy Point,6,SP,C,0.839583333,0.85,0.5,34.005643,-120.239911,-0.03,-0.03
Santa Claus,3,SC,A,,,0.5,34.406592,-119.55114,0,-0.05
Santa Claus,3,SC,B,,,0.5,34.406592,-119.55114,0,-0.05
Santa Claus,3,SC,C,,,0.5,34.406592,-119.55114,0,-0.05
Santa Monica,4,SM,A,0.826388889,0.854166667,0.5,34.0218,-118.5167,0,-0.05
Santa Monica,4,SM,B,0.826388889,0.854166667,0.5,34.0218,-118.5167,0,-0.05
Santa Monica,4,SM,C,0.826388889,0.854166667,0.5,34.0218,-118.5167,0,-0.05
Soledad,7,SC_R,A,0.879861111,0.902083333,0.5,34.011208,-120.160742,-0.03,0.04
Soledad,7,SC_R,B,0.879861111,0.893055556,0.5,34.011208,-120.160742,-0.03,0.04
Soledad,7,SC_R,C,0.879861111,0.892361111,0.5,34.011208,-120.160742,-0.03,0.04
Southeast Anchorage,10,SA,A,0.734722222,0.745138889,0.5,33.980091,-120.01154,0.05,-0.08
Southeast Anchorage,10,SA,B,0.734722222,0.741666667,0.5,33.980091,-120.01154,0.05,-0.08
Southeast Anchorage,10,SA,C,0.734722222,0.741666667,0.5,33.980091,-120.01154,0.05,-0.08
Water Canyon,9,WC,A,0.784722222,0.807638889,0.5,33.994393,-120.041195,0.06,0.03
Water Canyon,9,WC,B,0.784722222,0.807638889,0.5,33.994393,-120.041195,0.06,0.03
Water Canyon,9,WC,C,0.784722222,0.808333333,0.5,33.994393,-120.041195,0.06,0.03