sum.taxonomy,Ben_Weston,Little_Harbor,Sandy_Point,Santa_Monica,Soledad,Bechers,Christy,Coches,Cuylers_Harbor,Dangermond,Forney,R_Beach,Southeast_Anchorage,Water_Canyon,China_Camp,Ford_Pt,Santa_Claus,Emerald_Bay
Eukaryota;Chordata;Actinopteri;;;;,3,12,813,71,508,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,311,378,2742,0,1122,131,1883,5292,430,420,3175,835,12665,3026,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;,21948,37626,85173,11,99603,17768,97823,69122,65054,88047,56141,50460,68301,268782,57033,1417,13949,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,337,0,17451,0,980,2738,0,2085,0,0,3213,1324,0,1590,390,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0,0,0,0,0,15580,0,0,50062,28,0,0,0,52103,0,0,0,3538
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0,33395,10837,346,28237,29091,52,19049,8997,138981,48359,47885,21384,63360,9326,23265,2022,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca lateralis,0,0,1742,0,0,2588,0,0,444,1739,0,970,0,167,5416,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus aurora,0,0,7477,0,3247,772,0,0,10756,1706,231,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0,2110,4551,0,10844,3319,5135,0,3583,27161,14000,6306,0,728,66,23888,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0,0,0,0,0,6979,541,0,143,765,1114,815,15762,16331,117,302,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,0,0,77,0,222,302,0,0,0,2881,0,1507,0,1579,0,0,1076,0
Eukaryota;Chordata;Actinopteri;;Moronidae;Morone;Morone saxatilis,0,0,0,0,0,0,0,595,0,261,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,2820,438,0,0,0,0,0,189,0,0,150,0,0,0,0,0,0,827
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus,2483,183,0,0,0,0,0,1358,75,1111,0,0,0,0,0,0,0,1735
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,1,0,0,34,0,0,0,0,0,0,0,7,0,0,0,0,1,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Atractoscion;Atractoscion nobilis,0,0,350,0,385,0,0,0,210,2082,0,486,0,7161,0,0,253,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,0,0,0,0,0,0,0,0,0,0,0,1854,0,0,0,0,6308,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,4328,482,0,51080,0,3134,2961,0,0,16971,0,36637,0,2599,0,0,47928,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Roncador;Roncador stearnsii,0,0,0,9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus,26,7554,0,0,863,0,0,144,0,3022,0,18062,0,1505,0,0,3838,4469
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador,18310,1718,0,37242,1216,0,0,395,0,0,0,6014,0,19,0,0,1584,3462
Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea,23,0,4513,0,0,0,5299,16,3164,0,1941,1798,0,580,0,0,0,0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax,10475,2579,0,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,18698
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,229840,183861,88641,79560,7486,451028,356656,345394,273522,68332,14914,94865,178255,128890,3089,24755,118452,172301
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,14618,1199,0,989,182,2573,18336,18821,2948,16252,4715,4582,0,21049,0,0,65182,502
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,0,262,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster,0,0,0,3,57,21,0,66,0,0,0,39,0,0,0,0,39,0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus,0,0,13,0,29,310,0,0,499,0,5,0,0,162,0,0,21,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis,0,0,0,1905,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus,1087,301,0,0,0,552,0,1938,0,0,0,0,0,0,0,1374,0,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Fodiator;Fodiator acutus,0,0,0,8894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gilberti,19,151,0,0,3210,1373,0,1337,1047,6356,1308,13034,0,6930,0,239,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi,195,3279,0,1893,10,0,0,13818,0,166,0,6636,0,86,603,0,1903,828
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,17790,26672,13819,0,14775,18208,0,12091,3812,10939,7487,19065,19081,16832,3387,18532,583,6102
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis,0,0,33582,0,9636,7390,775,1152,22803,15466,15242,537,11104,4422,16661,9728,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,7804,44568,4617,67,2584,6762,0,13613,590,3899,36668,21785,1114,16227,18759,9309,776,3340
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon,2788,2674,250,0,10084,0,0,3776,0,0,0,26,0,43,0,0,0,817
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum,571,1215,0,0,1733,216,0,0,0,3920,3504,3424,0,456,545,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti,0,1094,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,2602
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis,6561,9956,0,0,0,0,0,1018,0,0,0,4237,0,0,0,0,0,1795
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola dorsalis,3776,0,0,0,0,0,5219,0,0,0,0,0,0,0,0,0,0,9123
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus,0,228,0,0,0,3966,0,2733,6713,2508,126,9,0,1770,0,0,565,2400
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans,3161,32612,1812,0,0,3212,226,136604,13451,3427,95774,16036,32924,2819,55073,59656,0,35483
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus analogus,0,0,0,0,0,0,0,0,0,0,0,1678,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus azureus,34850,12232,0,37610,0,0,0,864,0,0,0,11344,0,0,0,0,0,11490
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,14295,3523,31,0,0,1754,0,38006,0,0,27819,514,0,0,0,2785,0,10029
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax,2288,0,0,16991,0,2207,0,4691,174299,149773,17123,38460,9547,955,0,18786,178890,1475
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,5254,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax,2653,2241,0,0,12717,2536,58314,233237,44261,40224,180350,128188,106574,3134,2224,1481,22318,251278
Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus,4162,0,0,0,0,1385,0,0,0,0,0,6584,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii,0,0,0,0,0,78,0,0,11,0,40,0,0,314,18,0,0,17
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Typhlogobius;Typhlogobius californiensis,0,31620,0,0,1439,134,0,4843,1577,0,1790,3597,38520,0,8211,100,0,1031
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus pulcher,9961,6468,3001,0,0,1630,8943,9517,0,0,2345,3637,0,1688,979,0,0,489
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres californica,0,876,19765,0,1207,2566,2318,13369,3610,4317,26592,0,0,4018,42011,12686,15,0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus,2715,76479,4145,3519,773,1855,0,7103,0,0,1,1410,0,0,0,0,0,41330
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii,1174,98370,0,30,0,0,0,2147,0,0,0,2316,0,0,0,0,460,4562
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Brachygenys;Brachygenys californiensis,1973,46125,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,3125
Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil cephalus,168,8717,0,0,0,0,0,283,0,0,0,5061,0,0,0,0,1474,14646
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Triphoturus;Triphoturus mexicanus,0,0,33,0,0,0,0,0,0,0,0,0,0,0,5925,0,0,3887
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Chilara;Chilara taylori,0,0,0,0,0,0,0,0,0,0,0,0,708,39,0,0,0,7
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Ophidion;Ophidion scrippsae,10604,372,9,0,0,0,0,0,0,0,2923,0,0,0,0,0,886,0
Eukaryota;Chordata;Actinopteri;Perciformes;;;,0,0,122,0,3398,1383,0,0,0,6149,37,0,0,399,78,0,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus analis,9333,1049,0,0,3360,0,0,6667,16032,856,0,177,82,0,323,0,0,1017
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus recalvus,0,0,3509,0,0,0,0,580,3010,0,0,0,0,0,0,2665,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Oligocottus;Oligocottus snyderi,0,0,212,0,223,44,0,0,229,6690,0,0,19,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus,0,0,11546,0,3066,4012,0,0,33171,7856,2964,646,324,1974,8749,0,1188,0
Eukaryota;Chordata;Actinopteri;Perciformes;Pholidae;;,0,0,0,0,1311,744,0,0,0,0,692,0,0,3050,5337,0,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaenodes;Scorpaenodes xyris,1623,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;,377,383,3044,0,10448,24634,0,3522,4993,7102,5062,10983,29884,18277,1887,29548,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;Mycteroperca xenarcha,0,0,0,0,0,0,0,0,0,0,0,1434,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus,1022,12705,2060,0,0,0,120,12967,0,0,22752,8776,0,1892,0,1595,16,17776
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,356,4467
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus;,0,0,0,0,0,1313,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Cebidichthys;Cebidichthys violaceus,0,0,5,0,4121,7012,0,0,1462,108,0,0,6673,0,12800,0,0,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cynoglossidae;Symphurus;Symphurus atricaudus,0,0,408,0,0,0,0,0,295,0,0,96,0,370,0,0,0,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;,0,106,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus,0,0,495,0,1120,134,0,67,2197,0,0,2810,4445,690,0,0,0,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus,0,0,1183,0,20,6657,5244,4611,10057,10932,1838,1478,0,25178,5,0,93,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus,194,733,0,804,0,0,3436,0,445,0,54676,5692,0,3429,0,0,2303,9695
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis,0,46,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,198,46
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,1750
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys verticalis,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;Sarda chiliensis,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus,6337,0,0,0,0,1901,0,3593,32,1491,0,2405,12933,17,0,0,3108,55226
Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;,0,497,0,14295,3460,699,0,0,1408,7579,829,2131,0,2693,0,0,0,0
Eukaryota;Chordata;Aves;Charadriiformes;Charadriidae;Pluvialis;Pluvialis dominica,0,0,16,0,0,0,0,0,0,0,0,1509,0,0,0,0,793,0
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;,0,0,1605,0,8,32,0,12,446,0,168,0,0,0,0,8,0,457
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus occidentalis,0,0,652,0,0,387,0,1901,0,0,90,0,442,0,0,0,177,796
Eukaryota;Chordata;Aves;Charadriiformes;Scolopacidae;;,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,106,0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba livia,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus,105,381,0,19,46,0,0,196,13,688,235,35,0,0,0,0,72,123
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
Eukaryota;Chordata;Aves;Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus occidentalis,0,0,0,0,0,0,0,218,4392,0,0,0,0,78,216,0,0,4651
Eukaryota;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Urile;Urile pelagicus,0,0,20,0,46,0,0,0,10,0,3,0,84,89,14,0,0,0
Eukaryota;Chordata;Aves;Podicipediformes;Podicipedidae;Aechmophorus;Aechmophorus occidentalis,0,0,0,0,0,0,0,0,0,0,0,2821,0,0,0,0,0,0
Eukaryota;Chordata;Chondrichthyes;;Platyrhinidae;Platyrhinoidis;Platyrhinoidis triseriata,521,0,530,10,430,581,12,7,0,2328,47,853,0,296,0,0,1717,251
Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina californica,5,0,0,26,0,1461,0,17,26,0,1326,521,0,614,0,0,1071,0
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Cephaloscyllium;Cephaloscyllium ventriosum,8,0,0,0,592,277,0,0,8,10683,0,7,0,0,0,0,0,0
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Galeorhinus;Galeorhinus galeus,0,0,13,0,267,0,0,0,0,380,0,0,0,58,0,0,0,0
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Triakis;Triakis semifasciata,412,10071,0,255,1019,0,14530,1018,12429,10142,131,5309,339,15766,0,0,9675,1108
Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci,0,0,0,84,0,3578,135,3711,0,0,6016,978,0,8550,0,0,0,6
Eukaryota;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae;Notorynchus;Notorynchus cepedianus,0,0,0,0,6188,373,0,0,4029,0,0,70,0,35,0,0,0,0
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Gymnuridae;Gymnura;Gymnura marmorata,507,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,9355
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica,0,9416,1551,3527,26628,33320,43991,11815,15134,17027,1364,2369,2544,78284,10948,1324,11097,6935
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Urolophidae;Urobatis;Urobatis halleri,686,368,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1660
Eukaryota;Chordata;Chondrichthyes;Pristiformes/Rhiniformes group;Rhinobatidae;Pseudobatos;Pseudobatos productus,2005,4141,0,197,0,0,0,0,0,207,0,2043,0,0,0,0,309,17583
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;;,2988,0,0,0,0,0,0,81,0,0,21,0,0,0,0,0,155,78
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,0,0,0,31,0,0,0,0,0,39488,0,1453,0,0,0,0,23801,0
Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus,0,216,0,0,0,0,0,138,491,0,0,145,0,0,0,0,0,0
Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus,44,214,247,0,36,216,0,758,4116,13302,143,2283,0,16,1423,668,0,1477
Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga angustirostris,0,0,653,0,0,0,0,0,173416,0,0,0,0,0,22254,0,0,0
Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca;,8,0,302,0,762,0,0,0,9761,2131,674,824,127,436,604,0,0,0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,32465,4122,1710,2238,8088,900,521,4674,24009,2265,1028,3551,1955,4061,15994,464,521,20136
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus,385,0,8,16,98,0,0,162,0,0,0,0,0,0,151,0,0,143
NA,1119,359,331,3194,2102,317,34385,1341,427,172,2971,124,1086,2088,229,139,286,3124
